Tanggal;Harga
01-Jul-24;37300
02-Jul-24;37300
03-Jul-24;37150
04-Jul-24;37050
05-Jul-24;37100
06-Jul-24;37100
07-Jul-24;37100
08-Jul-24;36500
09-Jul-24;36400
10-Jul-24;36450
11-Jul-24;36650
12-Jul-24;36850
13-Jul-24;36850
14-Jul-24;36850
15-Jul-24;36350
16-Jul-24;37400
17-Jul-24;37150
18-Jul-24;37100
19-Jul-24;36950
20-Jul-24;36950
21-Jul-24;36950
22-Jul-24;36650
23-Jul-24;36300
24-Jul-24;35950
25-Jul-24;35850
26-Jul-24;35600
27-Jul-24;35600
28-Jul-24;35600
29-Jul-24;35200
30-Jul-24;34850
31-Jul-24;34700
01-Aug-24;34350
02-Aug-24;33950
03-Aug-24;33950
04-Aug-24;33950
05-Aug-24;35150
06-Aug-24;35000
07-Aug-24;35050
08-Aug-24;34650
09-Aug-24;34950
10-Aug-24;34950
11-Aug-24;34950
12-Aug-24;34950
13-Aug-24;34900
14-Aug-24;35050
15-Aug-24;35150
16-Aug-24;35050
17-Aug-24;35050
18-Aug-24;35050
19-Aug-24;35000
20-Aug-24;34850
21-Aug-24;34600
22-Aug-24;34550
23-Aug-24;34500
24-Aug-24;34500
25-Aug-24;34500
26-Aug-24;34300
27-Aug-24;34350
28-Aug-24;34350
29-Aug-24;34250
30-Aug-24;34200
31-Aug-24;34200
01-Sep-24;34200
02-Sep-24;33950
03-Sep-24;34500
04-Sep-24;34700
05-Sep-24;34600
06-Sep-24;34600
07-Sep-24;34600
08-Sep-24;34600
09-Sep-24;34100
10-Sep-24;33950
11-Sep-24;34350
12-Sep-24;34400
13-Sep-24;34300
14-Sep-24;34300
15-Sep-24;34300
16-Sep-24;34300
17-Sep-24;34250
18-Sep-24;34300
19-Sep-24;34400
20-Sep-24;34400
21-Sep-24;34400
22-Sep-24;34400
23-Sep-24;34450
24-Sep-24;34400
25-Sep-24;34150
26-Sep-24;34100
27-Sep-24;33900
28-Sep-24;33900
29-Sep-24;33900
30-Sep-24;33500
01-Oct-24;33450
02-Oct-24;33450
03-Oct-24;33550
04-Oct-24;33950
05-Oct-24;33950
06-Oct-24;33950
07-Oct-24;33900
08-Oct-24;35000
09-Oct-24;35250
10-Oct-24;35500
11-Oct-24;35900
12-Oct-24;35900
13-Oct-24;35900
14-Oct-24;36650
15-Oct-24;36950
16-Oct-24;37100
17-Oct-24;37450
18-Oct-24;37900
19-Oct-24;37900
20-Oct-24;37900
21-Oct-24;38000
22-Oct-24;37850
23-Oct-24;37800
24-Oct-24;37800
25-Oct-24;37750
26-Oct-24;37750
27-Oct-24;37750
28-Oct-24;37650
29-Oct-24;37400
30-Oct-24;37150
31-Oct-24;36800
01-Nov-24;36500
02-Nov-24;36500
03-Nov-24;36500
04-Nov-24;36500
05-Nov-24;36600
06-Nov-24;36900
07-Nov-24;36950
08-Nov-24;37100
09-Nov-24;37100
10-Nov-24;37100
11-Nov-24;37300
12-Nov-24;37300
13-Nov-24;37050
14-Nov-24;36850
15-Nov-24;36600
16-Nov-24;36600
17-Nov-24;36600
18-Nov-24;36500
19-Nov-24;36450
20-Nov-24;36300
21-Nov-24;36300
22-Nov-24;36350
23-Nov-24;36350
24-Nov-24;36350
25-Nov-24;36450
26-Nov-24;36300
27-Nov-24;33500
28-Nov-24;36450
29-Nov-24;36400
30-Nov-24;36400
01-Dec-24;36400
02-Dec-24;36350
03-Dec-24;36400
04-Dec-24;36300
05-Dec-24;36300
06-Dec-24;36300
07-Dec-24;36300
08-Dec-24;36300
09-Dec-24;36200
10-Dec-24;36250
11-Dec-24;36250
12-Dec-24;36250
13-Dec-24;35950
14-Dec-24;35950
15-Dec-24;35950
16-Dec-24;35950
17-Dec-24;36150
18-Dec-24;36250
19-Dec-24;36300
20-Dec-24;36550
21-Dec-24;36550
22-Dec-24;36550
23-Dec-24;36800
24-Dec-24;36950
25-Dec-24;36950
26-Dec-24;36950
27-Dec-24;37150
28-Dec-24;37150
29-Dec-24;37150
30-Dec-24;37200
31-Dec-24;37300
